Domain,Country,Element,Item,Year,Unit,Value
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Pelagic Fish,1996,kg,2.93
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Pelagic Fish,1997,kg,2.86
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Pelagic Fish,1998,kg,3.22
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Pelagic Fish,1999,kg,3.25
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Pelagic Fish,2000,kg,3.12
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Pigmeat,1992,kg,30.29
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Pigmeat,1993,kg,29.91
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Pigmeat,1994,kg,30.31
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Pigmeat,1995,kg,29.95
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Pigmeat,1996,kg,27.98
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Pigmeat,1997,kg,27.72
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Pigmeat,1998,kg,30.44
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Pigmeat,1999,kg,30.93
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Pigmeat,2000,kg,29.67
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Poultry Meat,1992,kg,41.08
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Poultry Meat,1993,kg,41.7
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Poultry Meat,1994,kg,42.63
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Poultry Meat,1995,kg,42.25
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Poultry Meat,1996,kg,43.32
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Poultry Meat,1997,kg,43.75
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Poultry Meat,1998,kg,44.14
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Poultry Meat,1999,kg,46.54
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Poultry Meat,2000,kg,46.26
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Whey,1992,kg,20.08
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Whey,1993,kg,20.47
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Whey,1994,kg,21.65
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Whey,1995,kg,20.2
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Whey,1996,kg,18.67
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Whey,1997,kg,18.67
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Whey,1998,kg,17.94
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Whey,1999,kg,17.07
Food Supply - Livestock and Fish Primary Equivalent,Northern America,Food supply quantity (kg/capita/yr),Whey,2000,kg,15.14
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1992,kg,0.03
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1993,kg,0.04
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1994,kg,0.06
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1995,kg,0.04
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1996,kg,0.04
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1997,kg,0.04
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1998,kg,0.02
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",1999,kg,0.02
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Aquatic Animals, Others",2000,kg,0.03
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Aquatic Plants,1992,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Aquatic Plants,1993,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Aquatic Plants,1994,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Aquatic Plants,1995,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Aquatic Plants,1996,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Aquatic Plants,1997,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Aquatic Plants,1998,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Aquatic Plants,1999,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Aquatic Plants,2000,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Bovine Meat,1992,kg,13.58
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Bovine Meat,1993,kg,13.05
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Bovine Meat,1994,kg,14.24
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Bovine Meat,1995,kg,13.7
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Bovine Meat,1996,kg,13.28
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Bovine Meat,1997,kg,13.87
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Bovine Meat,1998,kg,14.6
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Bovine Meat,1999,kg,14.8
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Bovine Meat,2000,kg,15.09
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Butter, Ghee",1992,kg,0.75
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Butter, Ghee",1993,kg,0.69
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Butter, Ghee",1994,kg,0.62
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Butter, Ghee",1995,kg,0.49
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Butter, Ghee",1996,kg,0.45
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Butter, Ghee",1997,kg,0.53
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Butter, Ghee",1998,kg,0.4
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Butter, Ghee",1999,kg,0.46
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Butter, Ghee",2000,kg,0.46
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cephalopods,1992,kg,0.23
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cephalopods,1993,kg,0.2
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cephalopods,1994,kg,0.19
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cephalopods,1995,kg,0.37
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cephalopods,1996,kg,0.83
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cephalopods,1997,kg,0.8
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cephalopods,1998,kg,0.3
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cephalopods,1999,kg,0.51
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cephalopods,2000,kg,0.51
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cheese,1992,kg,1.62
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cheese,1993,kg,1.66
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cheese,1994,kg,1.71
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cheese,1995,kg,1.49
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cheese,1996,kg,1.49
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cheese,1997,kg,1.54
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cheese,1998,kg,1.57
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cheese,1999,kg,1.78
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cheese,2000,kg,1.87
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cream,1992,kg,0.04
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cream,1993,kg,0.11
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cream,1994,kg,0.11
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cream,1995,kg,0.05
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cream,1996,kg,0.05
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cream,1997,kg,0.06
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cream,1998,kg,0.04
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cream,1999,kg,0.06
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Cream,2000,kg,0.07
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Crustaceans,1992,kg,0.69
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Crustaceans,1993,kg,0.84
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Crustaceans,1994,kg,0.71
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Crustaceans,1995,kg,0.7
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Crustaceans,1996,kg,0.67
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Crustaceans,1997,kg,0.68
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Crustaceans,1998,kg,0.64
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Crustaceans,1999,kg,0.6
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Crustaceans,2000,kg,0.65
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Demersal Fish,1992,kg,1.32
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Demersal Fish,1993,kg,1.24
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Demersal Fish,1994,kg,1.16
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Demersal Fish,1995,kg,1.17
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Demersal Fish,1996,kg,1.2
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Demersal Fish,1997,kg,1.17
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Demersal Fish,1998,kg,1.15
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Demersal Fish,1999,kg,1.15
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Demersal Fish,2000,kg,1.06
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Eggs,1992,kg,10.13
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Eggs,1993,kg,10.48
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Eggs,1994,kg,10.45
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Eggs,1995,kg,10.23
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Eggs,1996,kg,10.01
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Eggs,1997,kg,10.53
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Eggs,1998,kg,11.02
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Eggs,1999,kg,11.79
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Eggs,2000,kg,12.67
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1992,kg,2.48
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1993,kg,2.49
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1994,kg,2.56
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1995,kg,2.66
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1996,kg,2.55
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1997,kg,2.42
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1998,kg,2.39
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",1999,kg,2.38
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fats, Animals, Raw",2000,kg,2.33
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1992,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1993,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1994,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1995,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1996,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1997,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1998,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Body Oil",1999,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Body Oil",2000,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1992,kg,0.01
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1993,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1994,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1995,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1996,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1997,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1998,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",1999,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Fish, Liver Oil",2000,kg,0.0
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Freshwater Fish,1992,kg,1.11
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Freshwater Fish,1993,kg,1.11
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Freshwater Fish,1994,kg,1.14
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Freshwater Fish,1995,kg,1.1
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Freshwater Fish,1996,kg,1.16
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Freshwater Fish,1997,kg,1.13
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Freshwater Fish,1998,kg,1.04
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Freshwater Fish,1999,kg,1.02
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Freshwater Fish,2000,kg,1.15
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Honey,1992,kg,0.27
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Honey,1993,kg,0.26
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Honey,1994,kg,0.24
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Honey,1995,kg,0.22
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Honey,1996,kg,0.19
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Honey,1997,kg,0.23
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Honey,1998,kg,0.2
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Honey,1999,kg,0.27
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Honey,2000,kg,0.23
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1992,kg,2.45
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1993,kg,2.09
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1994,kg,2.59
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1995,kg,2.39
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1996,kg,1.83
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1997,kg,1.72
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1998,kg,1.45
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Marine Fish, Other",1999,kg,0.93
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Marine Fish, Other",2000,kg,1.01
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Meat, Other",1992,kg,0.89
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Meat, Other",1993,kg,0.94
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Meat, Other",1994,kg,0.95
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Meat, Other",1995,kg,0.8
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Meat, Other",1996,kg,0.79
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Meat, Other",1997,kg,0.78
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Meat, Other",1998,kg,1.06
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Meat, Other",1999,kg,0.97
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Meat, Other",2000,kg,1.18
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1992,kg,90.8
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1993,kg,97.02
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1994,kg,90.55
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1995,kg,85.6
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1996,kg,86.38
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1997,kg,88.89
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1998,kg,91.5
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,1999,kg,97.53
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,2000,kg,99.96
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Milk, Whole",1992,kg,69.67
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Milk, Whole",1993,kg,64.06
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Milk, Whole",1994,kg,68.23
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Milk, Whole",1995,kg,65.49
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Milk, Whole",1996,kg,58.68
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Milk, Whole",1997,kg,60.45
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Milk, Whole",1998,kg,73.68
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Milk, Whole",1999,kg,73.98
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Milk, Whole",2000,kg,78.98
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Molluscs, Other",1992,kg,0.53
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Molluscs, Other",1993,kg,0.45
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Molluscs, Other",1994,kg,0.53
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Molluscs, Other",1995,kg,0.39
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Molluscs, Other",1996,kg,0.38
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Molluscs, Other",1997,kg,0.41
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Molluscs, Other",1998,kg,0.42
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Molluscs, Other",1999,kg,0.48
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Molluscs, Other",2000,kg,0.54
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1992,kg,0.75
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1993,kg,0.77
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1994,kg,0.77
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1995,kg,0.67
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1996,kg,0.63
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1997,kg,0.68
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1998,kg,0.73
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,1999,kg,0.76
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2000,kg,0.85
Food Supply - Livestock and Fish Primary Equivalent,Central America,Food supply quantity (kg/capita/yr),"Offals, Edible",1992,kg,4.15
